age,gender,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality
34,Female,52954,3.31,37,7,7.7,1.01,0.33,1,4.75,6.83,4.93,5.33,94.4,75.19,2.94,0.76,0.26,0.14,0.52,0.37,10.44,45,312,3.93,4,0,340.2,6,5.54,6.36,9.03,25.19,6.48,4.03,4.56,19,3
25,Female,58483,3.69,30,24,8.77,1.85,3.32,6,2.3,8.3,8.19,4.08,62.07,70.81,3.15,0.37,0.07,0.42,0.84,0.63,2.94,21,267,0.44,0,1,139.83,7,9.8,4.47,5.83,21.34,5.53,6.29,3.2,25,4
33,Male,58039,1.71,25,3,8.97,2.79,0.42,7,5.58,6.36,6.33,8.33,86.49,39.04,0.78,0.77,0.29,0.2,0.8,0.74,7.68,3,130,2.05,4,0,189.62,5,5.01,8.19,5.7,18.4,3.06,3.25,1.87,81,10
53,Other,127839,4.39,30,7,6.42,0.29,3.82,2,1.69,4.9,4.72,7.44,37.53,100.0,1.43,0.44,0.22,0.18,0.84,0.56,3.75,7,496,0.64,2,1,1029.74,5,4.86,5.86,4.64,20.76,11.23,5.43,3.11,93,6
41,Female,18539,2.25,16,18,5.57,4.73,0.32,8,2.09,5.76,5.61,9.18,69.55,32.08,2.2,0.44,0.36,0.15,0.12,0.62,2.15,23,408,0.97,0,1,361.07,3,3.67,4.76,7.64,21.56,5.37,4.41,1.41,18,9
28,Female,146368,4.48,35,11,5.09,1.23,3.55,5,7.2,6.73,8.09,8.42,60.87,51.61,5.16,0.44,0.22,0.36,0.61,0.39,2.51,36,316,4.43,0,1,1231.59,10,8.25,7.09,0.0,21.26,6.17,2.28,2.21,20,3
17,Male,118333,7.08,12,19,5.68,1.61,0.93,4,4.72,8.12,1.6,2.9,77.08,73.98,6.12,0.63,0.24,0.17,0.3,0.48,10.76,21,1,3.37,1,0,109.85,8,0.0,4.78,8.52,23.03,11.44,6.8,2.14,18,3
46,Female,102493,4.09,20,9,8.39,2.54,0.42,9,5.75,1.01,5.39,6.79,72.5,58.58,2.77,0.64,0.67,0.39,0.57,0.38,2.51,43,86,3.01,7,0,81.59,5,0.85,5.07,7.46,21.33,6.04,5.94,1.29,67,7
41,Male,122467,0.9,18,18,6.25,2.15,1.24,6,4.11,4.45,7.47,2.07,47.91,61.23,0.0,0.75,0.25,0.27,0.19,0.88,5.44,19,371,0.27,0,0,159.38,10,7.34,7.53,6.72,28.51,3.65,2.35,5.05,50,7
18,Other,8520,4.95,30,8,7.69,9.06,0.57,5,4.91,3.49,6.8,4.69,48.95,70.32,4.6,0.5,0.64,0.3,0.66,0.47,3.26,21,368,1.09,10,1,64.32,4,4.35,6.21,6.4,25.05,9.87,3.61,4.64,69,5
32,Female,141755,10.55,20,19,7.3,5.66,2.34,3,2.85,3.93,6.49,5.99,53.0,52.6,7.53,0.38,0.24,0.32,0.61,0.29,2.14,6,72,1.01,6,0,542.07,8,3.27,4.11,4.94,20.34,14.09,10.0,3.44,73,2
52,Male,24980,9.63,8,6,4.27,1.56,4.16,1,3.02,4.04,7.03,6.2,70.96,64.0,6.52,0.78,0.41,0.39,0.33,0.18,7.13,17,344,2.43,3,1,211.11,4,5.13,5.42,7.37,27.68,10.29,4.21,4.57,84,10
34,Female,85316,9.9,15,16,8.42,0.8,1.56,2,4.99,3.76,5.91,5.18,100.0,83.37,7.27,0.09,0.18,0.1,0.59,0.51,6.99,9,207,0.49,6,1,1241.43,9,4.85,4.38,8.59,26.37,13.74,5.74,3.8,15,10
30,Male,92216,2.29,20,4,9.4,0.85,5.06,7,5.39,6.82,6.31,5.68,65.35,65.96,1.45,0.56,0.08,0.18,0.36,0.24,6.89,20,39,4.32,9,1,246.87,4,6.47,5.15,3.92,20.42,8.03,4.48,1.45,55,5
19,Male,14705,1.8,32,10,8.18,1.31,1.27,1,2.93,4.64,4.53,6.77,59.88,48.76,1.37,0.13,0.21,0.33,0.41,0.56,16.97,5,244,0.68,5,1,311.31,6,3.16,5.65,1.95,23.97,6.81,3.13,2.49,56,5
34,Male,46131,1.57,29,8,4.18,2.1,1.09,4,1.68,2.12,8.12,8.19,69.95,60.29,1.49,0.63,0.15,0.34,0.39,0.54,5.68,14,365,0.57,1,1,230.31,4,4.01,5.39,7.58,24.68,8.35,5.08,3.07,44,3
46,Male,130443,2.37,35,0,4.72,0.06,0.31,4,5.91,4.77,6.68,4.8,96.69,43.37,3.04,0.51,0.15,0.28,0.46,0.38,5.82,21,122,1.42,3,1,480.07,10,6.46,5.22,6.73,28.95,6.29,5.02,0.0,36,3
28,Female,90733,2.84,26,9,7.37,4.4,1.44,7,10.0,2.49,2.8,6.77,79.31,80.96,3.13,0.56,0.23,0.31,0.58,0.66,6.96,37,93,2.75,8,0,1035.66,9,4.35,4.64,4.76,22.46,7.52,3.68,2.3,6,10
50,Male,132729,3.23,10,16,7.6,1.02,1.78,3,5.16,6.08,7.86,7.04,89.84,84.74,2.11,0.4,0.35,0.14,0.07,0.49,14.09,18,20,0.47,9,0,309.71,7,7.97,1.58,6.58,23.86,11.93,6.36,3.75,57,4
15,Female,62878,4.3,25,5,5.09,0.51,7.49,9,5.66,5.41,2.63,7.72,78.22,64.61,2.96,0.48,0.21,0.59,0.62,0.31,4.85,7,474,1.71,9,0,275.27,3,4.19,6.29,7.06,20.15,5.68,6.24,3.9,26,6
44,Male,22675,4.91,25,5,5.86,3.63,6.7,3,2.12,10.0,7.47,4.25,77.21,88.0,3.13,0.13,0.57,0.35,0.71,0.17,6.05,30,25,0.9,1,1,289.04,2,1.93,6.27,4.69,24.36,5.84,4.73,6.02,51,1
38,Male,27276,3.41,2,1,6.45,0.87,0.82,9,3.53,7.68,6.42,8.52,48.79,92.22,2.4,0.43,0.23,0.44,0.94,0.78,1.62,4,434,1.66,3,0,306.12,0,3.92,6.9,1.73,21.62,13.06,2.74,5.41,2,8
36,Other,113530,3.96,36,15,4.95,0.43,1.02,8,4.65,4.43,7.66,6.72,71.72,66.14,2.03,0.93,0.46,0.33,0.24,0.97,4.42,9,294,2.96,2,0,359.85,4,6.78,6.46,5.39,22.85,9.05,7.11,4.89,4,1
56,Female,137285,4.17,32,20,5.37,4.74,1.56,4,5.27,5.21,3.82,2.28,59.98,62.97,0.78,0.19,0.14,0.43,0.47,0.6,7.32,12,349,0.73,7,1,452.7,10,7.91,6.07,2.9,23.02,8.18,1.77,1.43,89,8
54,Female,6280,10.17,35,0,7.22,0.87,1.36,9,0.0,8.7,7.13,8.69,64.68,88.98,7.97,0.26,0.63,0.21,0.51,0.33,5.13,46,204,2.04,2,0,344.62,4,4.26,5.91,4.98,23.55,14.95,8.01,5.3,8,4
16,Male,134605,4.37,30,1,7.46,0.93,1.41,6,6.11,2.59,4.73,7.9,59.24,61.19,4.08,0.43,0.45,0.22,0.85,0.64,4.34,9,46,5.99,8,1,261.66,2,2.23,4.15,2.24,20.08,9.29,7.27,4.25,31,7
21,Male,102164,5.46,34,18,7.14,1.64,0.64,5,7.49,6.31,8.84,4.25,69.06,75.14,3.65,0.39,0.2,0.28,0.6,0.94,5.45,20,398,1.41,6,1,131.23,6,7.05,2.75,4.26,21.19,28.72,5.75,5.07,22,4
48,Female,147644,0.34,12,23,6.56,0.03,3.19,9,7.9,7.28,4.14,4.03,44.62,54.1,1.74,0.44,0.32,0.72,0.85,0.26,10.0,42,492,0.67,9,0,918.07,4,6.96,8.04,3.56,12.28,1.91,3.76,4.71,97,2
20,Male,48981,0.34,24,12,4.81,1.27,0.9,4,8.17,3.94,5.88,5.67,91.54,45.19,0.37,0.82,0.33,0.56,0.6,0.89,5.83,31,400,1.53,0,0,761.94,4,5.28,5.3,6.09,24.69,0.57,9.08,4.44,55,2
15,Female,118419,5.9,6,1,6.3,3.35,3.29,2,6.77,3.91,7.16,3.53,65.31,79.43,4.21,0.54,0.42,0.65,0.52,0.44,6.16,45,103,4.6,1,0,95.84,6,4.19,6.83,4.64,22.97,9.17,4.87,4.68,98,9
41,Female,84482,8.94,29,10,7.82,3.62,2.54,10,4.51,6.97,3.15,3.11,80.68,86.24,6.37,0.22,0.32,0.53,0.18,0.24,9.28,41,158,1.29,4,1,793.99,6,3.48,8.25,6.36,30.45,18.93,4.58,2.6,33,5
51,Female,6718,4.37,30,14,7.0,0.87,5.75,1,5.23,4.17,4.87,6.91,36.79,56.78,3.33,0.29,0.51,0.16,0.73,0.77,14.55,28,420,0.53,1,0,1455.13,3,5.53,5.38,4.55,31.09,8.27,7.04,3.9,7,5
37,Female,72539,4.39,2,24,9.67,1.96,4.95,5,6.6,4.59,7.19,6.95,60.87,72.69,3.11,0.61,0.13,0.03,0.16,0.39,4.43,9,354,0.31,9,1,434.18,10,9.07,7.87,7.14,25.48,13.34,6.88,5.97,90,5
38,Male,132951,3.42,23,13,7.62,1.17,6.0,9,7.03,2.99,6.84,6.56,66.95,71.45,3.25,0.31,0.06,0.23,0.66,0.7,3.32,4,280,0.92,8,0,8.12,5,6.1,5.15,8.9,22.94,9.66,4.43,4.34,92,10
45,Female,133900,1.65,15,9,6.78,1.15,0.17,6,7.2,6.65,5.75,4.72,83.24,69.68,0.2,0.55,0.26,0.21,0.69,0.57,8.63,24,264,3.02,3,0,63.45,6,5.76,3.18,2.42,27.46,2.44,5.4,2.06,34,1
59,Female,102280,2.26,37,9,5.34,0.89,3.01,8,7.3,4.02,2.95,8.95,92.8,51.88,1.13,0.17,0.11,0.08,0.44,0.57,3.3,6,439,3.09,5,0,935.32,0,7.14,1.14,2.37,21.47,3.21,3.19,5.78,68,2
44,Female,37675,5.0,17,7,5.07,1.36,1.45,6,4.61,0.0,6.52,5.32,76.86,54.2,4.41,0.27,0.22,0.43,0.68,0.45,0.36,49,211,2.62,0,1,1314.54,0,3.95,6.81,5.38,23.45,14.15,4.84,7.19,85,2
44,Male,100086,4.28,1,16,6.57,0.9,1.58,3,3.92,5.9,7.57,4.43,68.67,89.38,2.13,0.18,0.15,0.34,0.6,0.27,3.91,11,346,0.99,8,0,567.8,10,2.99,6.1,2.92,21.81,7.32,7.18,3.83,34,3
38,Female,126133,9.36,23,14,5.8,3.51,0.11,6,3.73,9.98,2.57,5.92,69.97,65.36,6.89,0.5,0.12,0.16,0.75,0.72,1.08,6,123,3.06,5,0,830.49,5,6.18,3.72,5.55,25.52,10.61,4.36,4.67,92,7
22,Male,121791,2.08,8,2,9.02,0.72,1.4,10,7.48,2.38,9.61,4.25,77.79,68.14,1.95,0.85,0.44,0.36,0.21,0.32,3.31,14,255,1.03,1,1,280.54,0,5.23,4.56,4.69,22.18,3.87,4.81,6.79,41,9
24,Male,132352,3.36,25,17,5.23,4.95,0.95,4,5.26,7.44,8.39,6.65,90.66,67.71,0.64,0.49,0.1,0.78,0.79,0.1,11.89,33,183,4.84,3,0,57.94,5,6.19,3.52,2.46,27.18,5.39,8.13,4.41,25,8
22,Male,46227,0.8,36,0,6.07,6.52,3.57,10,4.95,4.25,4.37,5.32,75.13,48.93,0.0,0.75,0.11,0.59,0.15,0.73,6.99,3,170,2.35,4,0,320.57,4,4.24,3.17,8.66,23.25,2.36,5.09,6.38,41,4
32,Male,138575,1.35,11,7,8.56,1.8,3.69,8,6.08,7.02,5.71,3.92,62.52,70.87,1.2,0.78,0.23,0.44,0.17,0.47,9.4,23,110,1.16,7,1,33.21,6,7.06,7.63,3.58,25.57,6.88,4.26,3.76,29,1
17,Male,72673,1.49,1,4,5.6,0.06,0.12,2,5.72,2.27,5.17,4.47,55.96,52.99,2.29,0.48,0.17,0.21,0.53,0.48,8.11,35,94,1.44,2,0,77.83,9,5.2,3.53,5.93,26.77,7.58,2.95,5.27,92,3
26,Female,30590,3.07,4,8,5.11,5.29,0.44,4,2.58,1.45,6.18,4.64,78.61,55.04,2.06,0.6,0.25,0.73,0.85,0.49,20.07,40,221,3.5,2,1,766.66,9,4.45,6.19,1.44,24.65,6.03,4.15,4.66,10,10
23,Male,132263,6.86,14,21,6.04,4.52,4.82,2,8.28,8.34,6.76,6.46,76.71,55.52,6.16,0.4,0.19,0.17,0.29,0.26,3.93,5,141,2.01,10,0,196.53,3,5.16,4.29,6.71,19.75,8.74,7.28,4.94,64,9
22,Female,31162,1.98,9,11,5.48,7.98,0.88,7,3.05,9.87,4.37,2.28,52.99,66.75,0.0,0.24,0.36,0.21,0.39,0.8,4.95,9,419,2.08,7,0,118.53,10,0.0,6.12,4.27,27.93,3.55,3.92,5.41,88,2
44,Male,93186,3.09,22,8,10.46,2.28,1.08,2,4.66,5.53,4.06,6.86,100.0,76.58,3.13,0.45,0.36,0.37,0.91,0.34,3.88,16,188,2.99,3,1,248.18,5,4.12,8.62,7.54,24.12,5.5,3.82,5.14,32,3
55,Male,17701,2.4,6,9,6.7,1.04,2.03,10,5.58,5.15,9.49,9.97,68.96,58.8,0.95,0.85,0.64,0.07,0.65,0.23,5.62,0,177,2.7,10,0,63.35,5,4.28,5.64,3.6,21.94,8.55,4.89,3.5,94,1
33,Male,101599,2.42,21,10,6.82,4.76,3.69,7,3.52,3.76,4.91,3.03,86.47,39.14,1.38,0.52,0.34,0.11,0.12,0.25,2.01,35,34,2.14,6,1,1406.4,3,6.74,3.43,6.59,22.12,3.04,6.49,2.5,97,3
15,Male,111153,5.29,31,9,6.63,0.58,0.95,4,4.47,6.17,7.35,6.05,90.1,72.49,4.39,0.36,0.12,0.24,0.13,0.3,4.89,27,446,1.36,9,1,430.46,2,5.71,8.41,5.02,20.76,7.52,8.05,3.49,1,1
32,Male,37553,11.08,37,10,6.54,0.02,0.17,1,4.89,3.28,4.94,6.05,55.38,72.17,6.9,0.29,0.18,0.13,0.3,0.26,6.32,18,161,0.12,5,0,239.02,2,4.7,3.37,2.93,18.0,12.79,3.08,3.48,68,10
22,Male,42141,2.25,29,9,5.99,6.07,1.1,2,5.93,5.88,5.56,4.06,45.86,55.83,1.73,0.4,0.26,0.68,0.63,0.33,3.08,4,34,3.08,7,1,1664.06,8,7.17,6.46,6.08,25.66,6.68,5.71,4.96,8,9
29,Male,83229,5.75,15,8,7.73,1.64,1.02,2,4.56,7.77,4.36,5.29,82.4,79.58,3.24,0.53,0.13,0.19,0.24,0.89,3.42,13,1,0.76,0,0,79.48,4,7.84,3.43,6.63,23.59,10.31,3.52,2.25,34,6
22,Male,57778,3.06,9,21,5.09,0.02,0.08,1,5.02,4.72,5.85,9.89,56.32,50.22,2.15,0.21,0.42,0.24,0.59,0.87,5.63,49,311,2.07,1,1,316.11,5,5.67,8.06,6.82,19.53,5.18,5.67,0.2,56,5
27,Female,113286,4.74,22,0,5.74,3.72,6.27,10,6.62,8.38,7.99,8.41,75.11,81.49,4.2,0.74,0.57,0.34,0.3,0.75,1.91,14,273,2.37,4,1,94.23,1,5.09,3.42,7.83,20.67,13.1,6.43,4.17,93,1
39,Male,110778,8.2,27,12,6.01,1.63,1.23,5,6.78,0.98,3.87,3.78,47.68,78.46,4.24,0.29,0.04,0.2,0.16,0.46,5.68,15,17,2.63,4,0,727.03,1,5.02,4.22,6.69,19.81,10.43,3.25,4.83,91,2
39,Female,34831,3.28,9,3,6.97,0.44,2.64,3,4.68,8.34,10.0,6.3,54.67,69.8,0.0,0.47,0.16,0.68,0.59,0.64,10.27,0,498,1.6,4,1,954.33,9,8.42,6.55,6.88,20.18,3.49,2.51,1.97,9,7
26,Male,108134,7.26,16,17,6.67,0.44,7.32,1,4.47,6.07,3.62,4.83,82.62,69.67,5.3,0.47,0.06,0.45,0.88,0.64,9.8,35,123,4.36,6,1,172.8,4,3.19,4.98,6.24,25.74,13.58,5.12,7.1,1,3
56,Female,48409,2.96,30,3,8.72,4.03,6.52,1,5.75,7.49,2.44,7.11,92.82,80.69,0.94,0.39,0.24,0.1,0.52,0.34,15.58,23,14,2.59,3,1,75.09,10,4.59,8.36,3.68,24.61,7.86,4.53,8.7,30,8
44,Male,128948,7.74,1,14,8.38,3.3,0.6,10,7.19,6.16,7.27,7.89,83.34,78.4,5.54,0.26,0.34,0.68,0.52,0.61,5.0,3,351,1.25,6,0,30.08,10,8.38,7.16,3.55,19.81,9.91,5.86,4.02,86,1
24,Female,19946,7.37,10,4,9.12,3.59,0.92,4,2.61,1.96,6.72,8.45,89.36,62.28,6.07,0.21,0.68,0.22,0.66,0.89,4.16,42,480,1.19,1,1,7.93,1,6.59,3.89,9.16,23.23,8.15,5.13,5.15,55,1
14,Male,104443,5.8,5,23,10.16,0.06,2.17,10,5.94,3.98,2.44,6.55,52.91,49.71,4.62,0.5,0.16,0.51,0.64,0.44,4.52,2,416,1.94,5,1,552.12,9,4.74,4.4,9.11,26.94,7.58,0.14,4.54,58,5
58,Female,94451,4.3,22,14,8.0,4.69,1.25,3,5.69,8.49,7.12,4.74,66.42,69.58,2.19,0.95,0.45,0.54,0.24,0.49,4.05,24,465,5.6,10,0,920.54,2,3.35,4.51,4.22,22.72,6.35,3.34,8.31,62,7
42,Female,31862,0.13,12,5,7.0,2.85,3.06,7,3.43,2.01,9.08,3.61,98.12,68.94,0.0,0.56,0.55,0.43,0.65,0.81,2.22,18,96,3.12,9,0,224.58,7,5.34,4.01,7.91,33.55,3.29,5.02,0.74,9,3
23,Female,137604,4.44,21,1,9.24,3.47,2.5,1,4.32,5.28,10.0,3.11,73.51,53.01,4.28,0.48,0.38,0.44,0.89,0.68,4.83,0,289,1.52,7,0,561.7,10,9.99,6.82,5.74,29.11,15.7,1.03,3.06,48,5
56,Male,101014,2.08,4,16,8.77,1.07,3.05,9,5.45,7.09,4.81,4.9,94.09,61.38,2.06,0.81,0.51,0.2,0.11,0.11,8.3,12,256,5.34,9,0,599.7,9,5.86,4.4,3.19,28.75,7.83,7.73,3.64,89,4
35,Male,15111,4.7,22,19,5.71,3.72,2.32,4,5.84,5.41,6.9,7.48,92.95,49.99,2.6,0.37,0.11,0.54,0.27,0.24,4.9,13,242,3.07,3,0,226.84,7,3.38,4.33,3.97,24.43,6.31,6.84,0.82,28,5
35,Female,79452,2.83,34,24,6.42,2.43,0.93,2,8.09,6.03,4.66,5.05,85.43,76.45,1.85,0.74,0.36,0.51,0.41,0.3,2.38,38,260,0.99,4,0,175.67,2,5.35,6.24,9.46,23.86,7.29,5.86,1.34,30,9
49,Male,122642,3.93,24,9,6.91,0.76,0.07,8,5.26,3.83,7.19,9.5,69.74,88.6,1.99,0.08,0.26,0.58,0.68,0.29,1.62,14,240,2.77,2,1,69.72,3,4.07,5.08,6.26,29.94,6.7,1.72,3.07,75,9
53,Male,43975,2.79,2,4,7.53,0.97,1.04,2,3.79,6.98,8.86,5.38,76.95,69.3,3.02,0.1,0.23,0.52,0.17,0.45,2.17,21,232,1.91,7,0,522.24,3,5.64,5.0,6.15,23.28,5.7,5.38,3.21,53,9
51,Male,126084,3.35,8,14,5.59,4.69,1.91,5,3.82,6.28,4.6,7.79,64.63,64.63,2.86,0.94,0.28,0.13,0.59,0.68,12.43,29,63,2.97,0,1,100.25,3,2.35,6.79,7.77,27.1,6.64,2.57,2.98,51,9
24,Female,120558,4.8,25,14,8.38,0.82,0.83,7,7.51,5.54,6.67,4.09,72.53,79.15,2.46,0.75,0.16,0.25,0.47,0.64,13.31,28,264,1.48,1,0,7.44,5,5.6,3.55,3.35,20.91,7.03,3.55,3.47,45,7
49,Male,93664,2.23,39,20,6.19,3.18,0.09,7,4.51,4.78,4.17,6.05,58.93,52.12,2.42,0.63,0.29,0.19,0.16,0.56,0.87,28,282,5.15,2,0,1702.74,3,6.43,3.93,5.99,21.98,4.44,5.55,4.51,37,2
16,Female,104149,6.05,21,17,5.66,1.07,1.1,5,5.95,4.91,4.29,6.44,64.2,98.72,5.13,0.34,0.48,0.19,0.64,0.49,3.16,31,122,1.28,9,1,373.76,5,8.21,3.18,3.46,22.18,9.5,4.32,3.1,65,10
36,Other,119084,5.8,17,5,8.35,0.56,1.83,4,5.05,2.39,2.25,9.24,74.57,86.76,3.85,0.72,0.28,0.33,0.51,0.5,2.0,46,231,2.54,1,1,86.55,10,3.17,7.75,5.01,28.19,8.6,5.56,4.65,4,6
32,Male,16014,2.67,36,7,5.19,0.38,2.7,2,5.25,10.0,4.73,6.71,52.82,86.69,1.5,0.3,0.03,0.44,0.32,0.76,6.84,41,430,4.19,4,0,6.21,4,5.33,4.34,5.47,22.9,7.45,3.25,0.27,31,7
39,Male,58824,3.72,13,9,6.8,0.9,5.05,3,4.85,3.77,5.99,8.71,78.94,68.54,3.02,0.78,0.13,0.22,0.18,0.57,6.37,26,198,7.55,6,0,362.14,8,9.5,6.41,4.76,24.62,6.84,4.0,0.19,72,1
28,Male,12428,4.0,34,22,8.23,3.0,4.89,8,5.14,8.76,6.99,6.72,67.65,80.66,2.2,0.87,0.28,0.42,0.48,0.62,8.75,10,118,1.3,6,1,622.48,10,1.91,5.74,5.97,21.97,7.37,7.1,2.14,92,3
51,Male,143637,0.47,14,17,6.79,3.59,0.47,4,5.91,4.12,7.11,4.44,73.7,63.47,0.0,0.63,0.57,0.62,0.67,0.69,3.21,40,483,1.44,0,0,210.97,4,3.23,5.8,6.89,20.31,5.13,7.39,0.72,16,8
40,Male,85383,1.52,21,20,5.06,2.71,1.57,8,3.52,6.26,0.74,6.0,28.88,75.11,1.74,0.25,0.14,0.75,0.39,0.89,7.04,33,452,1.27,2,1,2.9,10,6.0,7.95,6.59,26.0,4.99,4.46,3.48,12,10
58,Female,73400,5.46,19,3,6.84,0.97,0.32,7,4.1,1.56,5.13,5.54,73.32,47.91,4.7,0.71,0.32,0.37,0.66,0.14,3.19,2,111,1.17,2,1,9.01,6,3.78,5.79,7.86,23.6,9.11,6.97,1.47,68,7
49,Male,22633,4.78,17,24,8.45,0.64,5.68,5,1.17,5.22,4.83,4.33,83.97,65.87,4.17,0.32,0.33,0.36,0.28,0.17,11.11,40,9,2.81,7,0,185.88,3,9.22,9.24,9.4,23.23,8.81,3.86,4.24,95,10
28,Female,72934,1.21,39,14,5.64,2.96,2.3,10,5.52,5.98,4.8,7.37,51.43,50.66,0.56,0.52,0.22,0.35,0.47,0.1,4.66,28,322,3.56,2,1,791.84,10,4.3,8.33,2.78,23.51,4.71,3.04,4.74,98,6
34,Male,131471,1.04,20,7,10.16,1.19,1.88,5,4.03,8.01,9.61,6.56,72.38,70.84,0.89,0.19,0.45,0.67,0.13,0.63,6.82,47,429,2.49,8,1,1025.71,2,3.98,4.48,6.09,23.27,5.25,4.45,2.95,37,5
47,Female,58602,1.88,15,5,7.83,3.22,0.53,10,4.68,3.19,4.71,2.67,82.39,85.75,2.22,0.5,0.13,0.36,0.48,0.51,1.14,23,302,0.16,4,0,439.86,3,4.08,4.54,4.38,22.33,5.56,5.03,3.97,26,2
24,Female,138193,3.41,16,18,8.91,2.86,1.24,6,7.94,7.92,3.16,3.87,84.73,70.15,0.0,0.67,0.63,0.82,0.52,0.39,4.44,3,243,0.22,9,0,241.9,9,5.57,7.17,4.34,27.01,7.18,4.96,4.63,12,3
34,Male,28921,0.61,2,24,3.47,5.68,2.97,6,4.46,1.19,5.41,7.17,86.33,70.35,0.62,0.25,0.18,0.31,0.24,0.3,8.48,7,484,1.41,5,0,174.87,8,8.49,6.21,7.57,17.76,4.22,4.53,6.66,61,1
30,Female,102031,3.02,4,16,8.49,0.0,0.48,8,7.26,5.09,4.62,7.23,84.54,80.96,2.36,0.54,0.17,0.66,0.25,0.3,7.68,49,339,1.57,10,0,175.01,8,3.86,5.45,5.89,15.8,5.14,7.92,8.79,93,2
35,Female,35573,1.18,21,17,4.7,1.85,0.3,7,1.91,0.0,3.82,7.77,63.07,41.1,0.0,0.19,0.3,0.39,0.53,0.82,0.34,32,201,1.72,7,1,121.49,8,4.74,5.97,3.56,24.42,1.98,8.41,3.64,64,1
54,Male,22564,3.69,34,21,5.34,3.96,2.18,7,4.88,5.93,6.43,5.72,66.2,55.35,2.23,0.63,0.31,0.46,0.53,0.58,2.68,42,275,1.92,0,0,102.09,5,3.47,1.6,6.91,17.85,6.2,4.84,2.49,3,4
58,Female,93321,1.02,2,18,6.05,3.15,0.28,1,4.48,5.55,5.21,10.0,100.0,65.11,0.01,0.79,0.01,0.47,0.62,0.65,14.5,0,319,1.83,8,0,320.55,2,1.91,4.22,5.02,24.31,3.18,6.8,4.06,18,10
30,Female,65820,2.28,25,21,8.23,5.06,1.32,9,4.87,5.19,6.53,2.85,70.32,60.19,2.57,0.13,0.35,0.46,0.45,0.43,7.59,16,111,1.11,5,1,13.62,2,5.5,7.61,5.78,24.04,7.21,4.45,2.89,90,1
54,Male,136125,3.78,18,22,5.45,0.23,0.47,10,6.83,7.23,7.29,3.32,72.13,65.79,1.9,0.78,0.31,0.44,0.23,0.55,6.33,12,457,0.95,5,1,436.53,4,2.24,5.3,10.0,27.02,7.78,5.32,5.08,71,3
39,Male,90613,5.08,25,21,11.2,1.15,0.82,2,2.03,0.0,4.49,7.11,66.0,79.15,3.26,0.13,0.14,0.48,0.41,0.11,3.14,40,138,3.97,8,1,995.61,7,4.62,3.25,5.0,28.09,9.38,7.52,3.06,65,9
41,Male,122825,1.93,20,2,9.01,0.39,0.53,7,2.35,4.51,3.32,1.83,76.31,68.34,2.39,0.34,0.19,0.59,0.22,0.6,8.51,17,450,1.14,4,1,891.6,0,2.89,6.85,7.79,20.22,2.78,6.57,0.6,84,4
44,Female,146194,2.19,22,22,7.58,0.82,0.11,10,2.2,8.01,7.22,6.09,82.9,80.25,1.09,0.81,0.13,0.58,0.22,0.78,11.35,19,120,1.47,10,1,317.2,1,6.59,7.37,10.0,23.24,2.54,3.06,7.53,6,3
23,Male,134969,1.69,21,18,4.78,0.52,0.3,6,5.57,2.24,4.37,4.45,66.86,67.52,2.44,0.1,0.13,0.62,0.51,0.15,3.23,9,10,2.65,4,0,81.45,3,7.56,3.12,7.94,26.35,10.86,2.93,5.2,98,10
20,Female,32821,12.37,19,23,4.33,3.06,1.09,1,1.58,4.41,6.46,7.75,81.36,64.44,7.96,0.25,0.21,0.39,0.05,0.59,10.45,0,147,5.58,5,0,1453.82,0,3.29,3.26,9.2,25.93,15.0,7.93,2.9,39,8
54,Female,11850,2.79,38,2,7.12,1.54,1.92,3,6.81,8.57,7.65,8.64,52.79,89.23,2.67,0.43,0.42,0.22,0.27,0.42,0.46,24,152,0.87,5,1,70.76,7,5.09,2.62,9.49,19.31,6.9,2.45,3.73,33,6
29,Male,101137,9.49,24,13,7.71,1.0,0.11,10,9.15,4.73,3.63,6.62,73.21,49.46,4.32,0.25,0.41,0.51,0.28,0.69,2.18,45,450,3.64,6,0,823.27,6,2.83,4.22,8.22,22.62,11.87,2.67,0.61,38,10
20,Female,33984,2.11,34,8,4.84,2.92,5.55,10,5.08,7.94,6.73,3.68,73.82,73.74,0.53,0.5,0.34,0.23,0.85,0.77,14.88,11,371,1.81,4,1,494.78,6,4.84,6.95,6.65,23.42,5.93,7.97,3.7,84,9
45,Male,55030,9.89,37,17,7.59,0.5,5.16,9,4.51,6.18,6.42,5.56,57.94,75.27,6.59,0.37,0.23,0.41,0.79,0.47,11.34,10,112,0.48,3,0,392.2,0,6.6,3.44,4.57,25.79,10.64,5.98,2.54,67,10
